,Time,TweetUrl,Content,English,Covid tweets,Sub-category,UserID,UserName,RetweetNum,LikeNum,UserHandle,UserUrl,Location,UserID_PostID,,
1.28159E+18,Fri Jul 10 14:01:45 +0000 2020,https://twitter.com/@RTErdogan/status/1281589428469760000,Hayırlı olsun. https://t.co/MzP6nzn9Jc,,,,68034431,Recep Tayyip Erdoğan,100468,329406,@RTErdogan,https://twitter.com/@RTErdogan,"Ankara, Turkey","@RTErdogan,1281589428469760000",,~
1.28159E+18,Fri Jul 10 14:01:45 +0000 2020,https://twitter.com/@RTErdogan/status/1281589428469760000,Hayırlı olsun. https://t.co/MzP6nzn9Jc,,,,68034431,Recep Tayyip Erdoğan,100467,329406,@RTErdogan,https://twitter.com/@RTErdogan,"Ankara, Turkey","@RTErdogan,1281589428469760000",,~
1.28159E+18,Fri Jul 10 14:01:45 +0000 2020,https://twitter.com/@RTErdogan/status/1281589428469760000,Hayırlı olsun. https://t.co/MzP6nzn9Jc,,,,68034431,Recep Tayyip Erdoğan,100466,329406,@RTErdogan,https://twitter.com/@RTErdogan,"Ankara, Turkey","@RTErdogan,1281589428469760000",,~
1244689350421602306,Mon Mar 30 18:14:01 +0000 2020,https://twitter.com/@RTErdogan/status/1244689350421602306,"İhtiyaç sahiplerine destek çalışmalarına devletin öncülük etmesi gerektiğini gördüğümüz için MİLLİ DAYANIŞMA KAMPANYASI’nı başlatıyoruz.
  
  Kampanyayı 7 aylık maaşımı bağışlayarak açıyorum. https://t.co/oIFavYV02y",,,,68034431,Recep Tayyip Erdoğan,21769,85670,@RTErdogan,https://twitter.com/@RTErdogan,"Ankara, Turkey","@RTErdogan,1244689350421602306",,~
1244689350421602306,Mon Mar 30 18:14:01 +0000 2020,https://twitter.com/@RTErdogan/status/1244689350421602306,"İhtiyaç sahiplerine destek çalışmalarına devletin öncülük etmesi gerektiğini gördüğümüz için MİLLİ DAYANIŞMA KAMPANYASI’nı başlatıyoruz.
  
  Kampanyayı 7 aylık maaşımı bağışlayarak açıyorum. https://t.co/oIFavYV02y",,,,68034431,Recep Tayyip Erdoğan,21769,85669,@RTErdogan,https://twitter.com/@RTErdogan,"Ankara, Turkey","@RTErdogan,1244689350421602306",,~
1244706919866122240,Mon Mar 30 19:23:49 +0000 2020,https://twitter.com/@RTErdogan/status/1244706919866122240,"Nice sıkıntıyı birlikte göğüslediğimiz, nice mücadeleyi birlikte yürüttüğümüz Milletimizle el ele vererek, Rabbimizin yardım ve inayetiyle inşallah bu musibetin de üstesinden geleceğiz. Çünkü #BizBizeYeterizTürkiyem, #BizBizeYeteriz. https://t.co/p9Q9RgoU2M",,,,68034431,Recep Tayyip Erdoğan,18550,61791,@RTErdogan,https://twitter.com/@RTErdogan,"Ankara, Turkey","@RTErdogan,1244706919866122240",,~
1244969009205989377,Tue Mar 31 12:45:16 +0000 2020,https://twitter.com/@RTErdogan/status/1244969009205989377,Görevi başındayken teröristler tarafından şehit edilen Cumhuriyet Savcısı Mehmet Selim Kiraz’ı şehadetinin beşinci yılında rahmetle yâd ediyorum. https://t.co/GHPxIN7SK7,,,,68034431,Recep Tayyip Erdoğan,12970,70567,@RTErdogan,https://twitter.com/@RTErdogan,"Ankara, Turkey","@RTErdogan,1244969009205989377",,~
1245322531986432001,Wed Apr 01 12:10:03 +0000 2020,https://twitter.com/@RTErdogan/status/1245322531986432001,AK Parti İl Başkanları Toplantısı https://t.co/rNhT7QEg0V,,,,68034431,Recep Tayyip Erdoğan,4937,21859,@RTErdogan,https://twitter.com/@RTErdogan,"Ankara, Turkey","@RTErdogan,1245322531986432001",,~
1245425749009616896,Wed Apr 01 19:00:12 +0000 2020,https://twitter.com/@RTErdogan/status/1245425749009616896,"Ülkemizin değerli bilim insanlarından Prof. Dr. Cemil Taşçıoğlu’nun vefatından derin üzüntü duydum. 
  
  Kıymetli hocamıza Allah’tan rahmet; ailesine, sevenlerine ve Koronavirüs'e karşı yürüttüğümüz mücadelenin kahramanları sağlık çalışanlarımıza başsağlığı diliyorum.",,,,68034431,Recep Tayyip Erdoğan,9598,70347,@RTErdogan,https://twitter.com/@RTErdogan,"Ankara, Turkey","@RTErdogan,1245425749009616896",,~
1245710253875920897,Thu Apr 02 13:50:43 +0000 2020,https://twitter.com/@RTErdogan/status/1245710253875920897,AK Parti Belediye Başkanları Toplantısı https://t.co/bXK2lfVUH7,,,,68034431,Recep Tayyip Erdoğan,4325,19362,@RTErdogan,https://twitter.com/@RTErdogan,"Ankara, Turkey","@RTErdogan,1245710253875920897",,~
